VendorID,lpep_pickup_datetime,PULocationID,lpep_dropoff_datetime,DOLocationID,passenger_count,velocity
1,2024-01-01 00:30:20,4,2024-01-01 00:42:12,6,1.0,19.529069662921348
2,2024-01-01 00:32:38,4,2024-01-01 00:43:37,14,1.0,45.188508892261005
1,2024-01-01 00:31:56,4,2024-01-01 00:48:09,13,2.0,19.05405632065776
2,2024-01-01 00:18:37,2,2024-01-01 00:35:16,5,1.0,15.600449009009008
2,2024-01-01 00:18:52,1,2024-01-01 00:25:10,4,1.0,19.312079999999998
2,2024-01-01 00:12:54,1,2024-01-01 00:20:56,2,1.0,19.95314489626556
2,2024-01-01 00:26:23,2,2024-01-01 00:34:53,9,1.0,17.608072941176474
2,2024-01-01 00:41:05,1,2024-01-01 00:50:47,2,1.0,17.71933113402062
2,2024-01-01 00:18:00,4,2024-01-01 00:19:55,5,1.0,46.34899200000001
2,2024-01-01 00:44:45,5,2024-01-01 00:50:01,4,1.0,27.31803721518987
2,2024-01-01 00:56:46,5,2024-01-01 01:04:09,2,1.0,0.1307815801354402
2,2024-01-01 00:27:14,1,2024-01-01 00:36:45,2,1.0,19.075329457092817
2,2024-01-01 00:52:23,4,2024-01-01 01:07:39,8,1.0,36.43152209606987
2,2024-01-01 00:43:15,4,2024-01-01 00:51:56,15,1.0,41.03353658349328
2,2024-01-01 00:30:03,4,2024-01-01 00:45:25,14,1.0,27.585693449023857
2,2024-01-01 00:16:46,1,2024-01-01 00:21:49,5,1.0,14.914279603960397
2,2024-01-01 01:35:01,1,2024-01-01 01:37:48,2,1.0,20.468491976047904
2,2024-01-01 00:58:05,5,2024-01-01 01:04:05,0,1.0,18.346475999999996
2,2024-01-01 01:06:44,1,2024-01-01 01:11:53,2,1.0,21.93702291262136
2,2024-01-01 01:15:44,2,2024-01-01 01:19:46,1,1.0,19.87069388429752
1,2024-01-01 01:17:38,6,2024-01-01 01:34:38,9,2.0,13.632056470588234
2,2024-01-01 01:56:27,4,2024-01-01 02:05:39,16,1.0,25.71445434782609
1,2024-01-01 01:09:58,1,2024-01-01 01:13:51,11,1.0,19.892271244635197
2,2024-01-01 00:12:55,2,2024-01-01 00:19:46,1,1.0,16.774726423357663
2,2024-01-01 01:32:39,4,2024-01-01 01:35:45,1,1.0,23.361387096774195
2,2024-01-01 01:35:38,1,2024-01-01 01:47:22,2,1.0,21.80838579545454
2,2024-01-01 01:28:22,4,2024-01-01 01:35:43,12,3.0,24.30431836734694
2,2024-01-01 01:29:54,4,2024-01-01 01:38:31,2,1.0,13.111296092843325
2,2024-01-01 01:00:59,1,2024-01-01 01:08:38,2,1.0,19.56452549019608
2,2024-01-01 01:09:07,2,2024-01-01 01:14:56,15,1.0,21.08281512893983
2,2024-01-01 01:26:16,4,2024-01-01 01:39:15,13,1.0,20.601204724005136
1,2024-01-01 02:44:40,2,2024-01-01 02:50:22,4,1.0,18.63446315789474
1,2024-01-01 02:17:09,11,2024-01-01 02:23:51,2,1.0,12.9708
2,2024-01-01 02:01:27,6,2024-01-01 02:15:16,4,1.0,16.004100072376357
2,2024-01-01 02:24:41,1,2024-01-01 02:33:46,4,1.0,11.799858055045872
2,2024-01-01 00:56:22,5,2024-01-01 01:05:10,13,1.0,17.336980909090908
2,2024-01-01 01:13:32,11,2024-01-01 01:20:36,1,1.0,16.67033320754717
2,2024-01-01 01:27:06,4,2024-01-01 01:39:11,16,1.0,16.781531586206896
2,2024-01-01 02:26:05,15,2024-01-01 02:33:09,14,1.0,25.142141886792455
1,2024-01-01 02:28:02,1,2024-01-01 02:33:37,2,1.0,12.106079999999997
2,2024-01-01 02:35:40,1,2024-01-01 02:42:08,2,1.0,23.14463195876289
2,2024-01-01 02:21:23,2,2024-01-01 02:27:39,4,1.0,14.175888510638298
2,2024-01-01 01:55:37,4,2024-01-01 02:07:09,9,3.0,16.24224069364162
2,2024-01-01 02:19:59,1,2024-01-01 02:27:42,10,3.0,18.394443369330453
2,2024-01-01 02:34:59,1,2024-01-01 02:42:40,6,3.0,17.217494316702822
1,2024-01-01 03:48:56,1,2024-01-01 03:52:53,2,1.0,22.001103797468357
2,2024-01-01 01:44:04,5,2024-01-01 01:52:33,0,1.0,24.2444383497053
1,2024-01-01 03:22:53,1,2024-01-01 03:40:35,14,1.0,28.36802711864407
2,2024-01-01 03:21:08,6,2024-01-01 03:28:21,15,1.0,22.746329792147808
2,2024-01-01 03:55:59,1,2024-01-01 04:08:08,6,1.0,17.881555555555554
2,2024-01-01 02:54:25,16,2024-01-01 03:06:42,2,1.0,29.40048
2,2024-01-01 04:17:27,2,2024-01-01 04:25:33,5,1.0,33.498114074074074
2,2024-01-01 04:46:31,1,2024-01-01 04:51:20,4,1.0,18.44337051903114
2,2024-01-01 04:45:24,2,2024-01-01 04:55:13,6,1.0,15.738197623089984
2,2024-01-01 04:20:14,4,2024-01-01 04:26:01,5,1.0,15.527580172910664
2,2024-01-01 05:21:27,5,2024-01-01 05:26:38,16,1.0,20.86449800643087
2,2024-01-01 05:31:17,11,2024-01-01 05:44:36,14,1.0,29.656973917396748
2,2024-01-01 06:21:54,15,2024-01-01 06:38:53,4,1.0,35.47812930323847
2,2024-01-01 07:24:51,5,2024-01-01 07:30:51,9,1.0,26.554109999999998
2,2024-01-01 07:08:52,4,2024-01-01 07:10:38,5,1.0,45.91173735849056
2,2024-01-01 06:56:54,4,2024-01-01 07:02:52,5,1.0,29.777285363128495
2,2024-01-01 07:27:06,4,2024-01-01 07:40:02,14,1.0,29.56540082474227
2,2024-01-01 07:37:08,4,2024-01-01 07:45:20,12,1.0,20.018619512195123
2,2024-01-01 07:55:55,4,2024-01-01 08:03:32,12,1.0,24.594377592997812
2,2024-01-01 07:29:23,10,2024-01-01 07:34:31,11,1.0,25.582235844155846
2,2024-01-01 08:18:45,3,2024-01-01 08:27:55,16,1.0,19.382305745454545
2,2024-01-01 08:59:35,4,2024-01-01 09:04:14,5,1.0,26.37241032258065
2,2024-01-01 08:35:10,1,2024-01-01 08:51:29,14,1.0,28.22838251276813
1,2024-01-01 08:05:00,4,2024-01-01 08:10:20,5,1.0,25.347104999999996
1,2024-01-01 08:33:18,4,2024-01-01 08:39:57,5,1.0,20.32850526315789
2,2024-01-01 08:30:04,4,2024-01-01 08:37:11,1,1.0,14.246616393442624
2,2024-01-01 09:26:29,4,2024-01-01 09:32:27,5,1.0,27.511622346368714
2,2024-01-01 09:25:07,4,2024-01-01 09:32:25,6,1.0,21.69302136986301
1,2024-01-01 09:48:47,12,2024-01-01 09:53:02,5,1.0,13.632056470588234
2,2024-01-01 09:14:31,5,2024-01-01 09:20:34,1,1.0,28.72871404958678
2,2024-01-01 09:41:50,1,2024-01-01 09:47:58,3,1.0,18.577381304347824
2,2024-01-01 09:35:14,4,2024-01-01 09:50:47,15,1.0,20.429820964630228
2,2024-01-01 09:40:49,2,2024-01-01 09:52:08,0,1.0,20.56352553755523
2,2024-01-01 10:27:46,4,2024-01-01 10:34:09,12,1.0,26.62344187989556
2,2024-01-01 10:35:39,4,2024-01-01 10:46:05,16,1.0,22.95237623003195
2,2024-01-01 10:28:47,4,2024-01-01 10:41:31,8,1.0,40.11553790575916
2,2024-01-01 10:16:06,5,2024-01-01 10:21:21,12,1.0,27.22083657142857
1,2024-01-01 10:09:50,4,2024-01-01 10:14:56,5,2.0,18.93341176470588
1,2024-01-01 10:37:06,4,2024-01-01 10:41:49,5,1.0,22.51938657243816
1,2024-01-01 10:15:41,5,2024-01-01 10:22:29,16,1.0,15.620064705882355
2,2024-01-01 10:28:23,4,2024-01-01 10:40:23,0,1.0,15.851998999999998
2,2024-01-01 10:25:51,4,2024-01-01 10:34:51,13,1.0,27.466069333333337
1,2024-01-01 10:34:20,4,2024-01-01 10:38:16,1,1.0,24.54925423728813
1,2024-01-01 10:45:12,5,2024-01-01 10:54:52,11,1.0,21.975815172413792
2,2024-01-01 10:25:46,4,2024-01-01 10:32:01,1,1.0,25.955435519999995
1,2024-01-01 11:06:40,2,2024-01-01 11:11:08,4,0.0,21.618000000000002
1,2024-01-01 11:31:52,4,2024-01-01 11:40:16,10,1.0,16.093399999999995
